disease,symptoms,aliases
noninfectious gastroenteritis,blood in stool;burning abdominal pain;chills;decreased appetite;diarrhea;fever;fluid retention;headache;nausea;rectal bleeding;sharp abdominal pain;vomiting,
normal pressure hydrocephalus,depressive or psychotic symptoms;headache;palpitations;problems with movement,
nose disorder,coryza;cough;difficulty breathing;ear pain;facial pain;fever;headache;nasal congestion;nosebleed;painful sinuses;sinus congestion;sore throat,
obesity,excessive appetite;sleepiness;weight gain,
obsessive compulsive disorder (ocd),anxiety and nervousness;depression;depressive or psychotic symptoms;feeling ill;hostile behavior;lack of growth;low self-esteem;obsessions and compulsions;temper problems,
obstructive sleep apnea (osa),abnormal breathing sounds;abnormal involuntary movements;apnea;difficulty breathing;difficulty in swallowing;fatigue;insomnia;mouth dryness;shortness of breath;sleepiness;sweating;weight gain,
omphalitis,emotional symptoms;flatulence;irregular belly button,
onychomycosis,"abnormal appearing skin;foot or toe pain;irregular appearing nails;skin dryness, peeling, scaliness, or roughness;skin growth;skin on leg or foot looks infected;skin rash;skin swelling;too little hair",
open wound due to trauma,skin on arm or hand looks infected;wrist swelling,
open wound from surgical incision,flatulence;skin lesion;skin swelling,
open wound of the abdomen,blindness;irregular belly button;sharp abdominal pain,
open wound of the arm,arm pain;elbow pain;knee weakness;redness in or around nose,
open wound of the back,irregular heartbeat;lower body pain;skin lesion;weight gain,
open wound of the cheek,facial pain;wrist pain,
open wound of the chest,drug abuse;sharp chest pain,
open wound of the ear,bleeding from ear;dry lips;ear pain;facial pain;fluid in ear,
open wound of the eye,diminished vision;pain in eye;spots or clouds in vision;symptoms of eye;white discharge from eye,
open wound of the face,facial pain;wrist swelling,
open wound of the finger,hand or finger pain;hand or finger stiffness or tightness;hand or finger swelling;skin on arm or hand looks infected,
open wound of the foot,foot or toe lump or mass;foot or toe pain;foot or toe swelling;irregular appearing nails;skin lesion;skin on leg or foot looks infected,
open wound of the hand,hand or finger pain;hand or finger stiffness or tightness;hand or finger swelling;skin on arm or hand looks infected,
open wound of the head,abusing alcohol;headache,
open wound of the jaw,lip swelling;wrist swelling,
open wound of the knee,leg pain;leg swelling,
open wound of the lip,dry lips;facial pain;lip swelling;mouth pain;mouth ulcer,
open wound of the mouth,lip swelling;mouth ulcer;peripheral edema;seizures;tongue lesions;toothache,
open wound of the neck,abnormal appearing skin;ache all over;peripheral edema;skin lesion;skin swelling,
open wound of the nose,diminished hearing;facial pain;headache;nosebleed,
open wound of the shoulder,abusing alcohol;arm pain;shoulder pain,
oppositional disorder,antisocial behavior;depressive or psychotic symptoms;excessive anger;fainting;hostile behavior;low self-esteem;low urine output;obsessions and compulsions;restlessness;temper problems,
optic neuritis,blindness;diminished vision;headache;retention of urine,
oral leukoplakia,elbow weakness;skin swelling;tongue lesions,
oral mucosal lesion,cough;facial pain;fever;gum pain;lip swelling;mouth pain;mouth ulcer;sore throat;tongue lesions;toothache,
oral thrush (yeast infection),constipation;cough;fever;irritable infant;mouth pain;mouth ulcer;nasal congestion;skin rash;sore throat;tongue lesions,
orbital cellulitis,diminished hearing;eye redness;fever;pain in eye;peripheral edema;swollen eye;symptoms of eye,
orthostatic hypotension,abnormal involuntary movements;dizziness;fainting;feeling ill;headache;irregular heartbeat;sharp chest pain;weakness,
osteoarthritis,ankle pain;back pain;elbow pain;hand or finger pain;hip pain;joint pain;knee pain;knee swelling;knee weakness;leg pain;muscle pain,
osteochondroma,abnormal appearing skin;foot or toe pain;knee pain;lip swelling;lower abdominal pain;skin growth;skin lesion,
osteochondrosis,ankle pain;bowlegged or knock-kneed;elbow pain;foot or toe pain;hand or finger pain;knee pain,
osteomyelitis,arm swelling;bones are painful;difficulty speaking;hand or finger pain;hand or finger swelling;skin lesion;skin on leg or foot looks infected,
osteoporosis,"back pain;bones are painful;disturbance of memory;early or late onset of menopause;hip pain;joint pain;leg cramps or spasms;muscle cramps, contractures, or spasms;stomach bloating",
otitis externa (swimmer's ear),cough;diminished hearing;ear pain;facial pain;fever;fluid in ear;itchy ear(s);plugged feeling in ear;redness in ear;ringing in ear;sore throat,
otitis media,coryza;cough;diminished hearing;ear pain;fever;fluid in ear;nasal congestion;plugged feeling in ear;pulling at ears;sore throat;vomiting,
otosclerosis,diminished hearing;dizziness;emotional symptoms,
ovarian cancer,decreased appetite;groin mass;sharp abdominal pain;stomach bloating,
ovarian cyst,burning abdominal pain;intermenstrual bleeding;lower abdominal pain;nausea;painful menstruation;pelvic pain;sharp abdominal pain;vaginal discharge;vomiting,
ovarian torsion,ache all over;groin mass;lower abdominal pain;pelvic pain;sharp abdominal pain;skin swelling,
overflow incontinence,blood in urine;hand or finger stiffness or tightness;impotence;involuntary urination;retention of urine;suprapubic pain;symptoms of bladder,
pain after an operation,back pain;headache;leg pain;low back pain;lower abdominal pain;nausea;neck pain;sharp abdominal pain;sharp chest pain;side pain;vomiting,
pain disorder affecting the neck,arm pain;back pain;disturbance of memory;dizziness;headache;insomnia;low back pain;neck pain;neck stiffness or tightness,
pancreatic cancer,ache all over;arm swelling;diarrhea;jaundice;nausea;sharp abdominal pain;stomach bloating,
panic attack,anxiety and nervousness;chest tightness;irregular heartbeat;loss of sensation;sharp chest pain;shortness of breath;weakness,
panic disorder,abnormal involuntary movements;anxiety and nervousness;breathing fast;chest tightness;depression;depressive or psychotic symptoms;dizziness;insomnia;irregular heartbeat;palpitations;shortness of breath,
parasitic disease,abnormal appearing skin;cough;hand or finger swelling;retention of urine;sharp abdominal pain;skin rash,
parathyroid adenoma,anxiety and nervousness;disturbance of memory;shoulder pain;throat feels tight,
parkinson disease,abnormal involuntary movements;difficulty speaking;disturbance of memory;dizziness;focal weakness;leg stiffness or tightness;problems with movement;stiffness all over;weakness,
paronychia,abnormal appearing skin;foot or toe pain;foot or toe swelling;hand or finger lump or mass;hand or finger pain;hand or finger swelling;sinus congestion;skin on arm or hand looks infected;skin on leg or foot looks infected,
paroxysmal supraventricular tachycardia,chest tightness;dizziness;increased heart rate;involuntary urination;irregular heartbeat;palpitations;sharp chest pain;shortness of breath;weakness,
paroxysmal ventricular tachycardia,chest tightness;decreased heart rate;dizziness;fainting;fatigue;increased heart rate;irregular heartbeat;sharp chest pain;shortness of breath;weight gain,
pelvic fistula,dizziness;elbow weakness;vaginal discharge,
pelvic inflammatory disease,back pain;burning abdominal pain;intermenstrual bleeding;lower abdominal pain;nausea;painful urination;pelvic pain;sharp abdominal pain;suprapubic pain;vaginal discharge;vomiting,
pelvic organ prolapse,blood in urine;frequent urination;intermenstrual bleeding;involuntary urination;retention of urine;suprapubic pain;symptoms of bladder;vaginal discharge;vaginal pain,
pemphigus,abnormal appearing skin;hand or finger pain;skin lesion,
pericarditis,chest tightness;lower body pain;palpitations;sharp abdominal pain;sharp chest pain;shortness of breath,
peripheral arterial disease,feeling cold;foot or toe pain;leg cramps or spasms;leg pain;lymphedema;poor circulation;skin lesion;symptoms of the kidneys,
peripheral arterial embolism,abnormal appearing skin;knee swelling;leg pain;leg swelling;loss of sensation;paresthesia,
peripheral nerve disorder,abnormal involuntary movements;arm pain;arm weakness;back pain;disturbance of memory;dizziness;foot or toe pain;leg pain;leg weakness;loss of sensation;paresthesia;problems with movement,
perirectal infection,abnormal appearing skin;pain in testicles;pain of the anus;skin lesion;skin swelling;swelling of scrotum,
peritonitis,back pain;groin mass;intermenstrual bleeding;nausea;sharp abdominal pain;shortness of breath;side pain;vomiting,
peritonsillar abscess,difficulty in swallowing;ear pain;headache;sore throat;swollen lymph nodes;throat feels tight;throat swelling,
persistent vomiting of unknown cause,abnormal involuntary movements;diarrhea;dizziness;fever;nausea;sharp abdominal pain;vomiting,
personality disorder,anxiety and nervousness;delusions or hallucinations;depression;depressive or psychotic symptoms;drug abuse;excessive anger;fears and phobias;hostile behavior;insomnia;low self-esteem;temper problems,
peyronie disease,emotional symptoms;impotence;mass in scrotum;penis pain;symptoms of prostate,
pharyngitis,cough;fever;hoarse voice;sore throat;wheezing,
phimosis,blood in urine;painful urination;penis pain;penis redness;retention of urine;symptoms of the scrotum and testes,
pilonidal cyst,ache all over;bones are painful;irregular appearing scalp;lower body pain;pain of the anus;pelvic pain;skin growth;skin swelling,
pinguecula,headache;itching of scrotum;lacrimation;symptoms of eye,
pinworm infection,constipation;itching of the anus;pain of the anus;painful urination;retention of urine;sharp abdominal pain,
pituitary adenoma,headache;muscle swelling;nausea;pain in eye,
pituitary disorder,headache;hot flashes;lack of growth;pain in eye,
pityriasis rosea,abnormal appearing skin;itching of skin;skin rash;skin swelling;vaginal itching;warts,
placenta previa,cramps and spasms;involuntary urination;pain during pregnancy;spotting or bleeding during pregnancy,
placental abruption,emotional symptoms;nausea;spotting or bleeding during pregnancy;uterine contractions,
plantar fasciitis,ankle pain;ankle swelling;bones are painful;foot or toe pain;knee pain;muscle pain;problems with movement,
pleural effusion,back pain;cough;difficulty breathing;hurts to breath;rib pain;sharp abdominal pain;sharp chest pain;shortness of breath;side pain;weakness,
pneumoconiosis,cough;dizziness;fever;shortness of breath,
pneumonia,chills;coryza;cough;difficulty breathing;fever;nasal congestion;sharp chest pain;shortness of breath;sore throat;vomiting;weakness;wheezing,
pneumothorax,back pain;cough;drug abuse;hurts to breath;sharp chest pain;shortness of breath;shoulder pain;side pain,
poisoning due to analgesics,abusing alcohol;depression;depressive or psychotic symptoms;problems during pregnancy;skin swelling;vomiting,
poisoning due to anticonvulsants,depression;difficulty speaking;dizziness;problems with movement,
poisoning due to antidepressants,abusing alcohol;depression;drug abuse;emotional symptoms,
poisoning due to antihypertensives,depressive or psychotic symptoms;sharp abdominal pain;weakness,
poisoning due to antimicrobial drugs,abnormal involuntary movements;allergic reaction;peripheral edema;problems with movement;shortness of breath;skin rash,
poisoning due to antipsychotics,anxiety and nervousness;delusions or hallucinations;sharp chest pain,
poisoning due to ethylene glycol,abusing alcohol;depression;depressive or psychotic symptoms;fainting,
poisoning due to gas,cough;dizziness;drainage in throat;headache;sharp chest pain;shortness of breath;wheezing,
poisoning due to opioids,depressive or psychotic symptoms;difficulty speaking;dizziness;drug abuse,
poisoning due to sedatives,depression;depressive or psychotic symptoms;drug abuse;hostile behavior;insomnia;sleepiness,
polycystic kidney disease,back pain;blood in urine;kidney mass;low back pain;retention of urine;sharp abdominal pain;side pain;skin growth,
polycystic ovarian syndrome (pcos),absence of menstruation;hot flashes;infertility;intermenstrual bleeding;long menstrual periods;pelvic pain;unpredictable menstruation;weight gain,
polycythemia vera,dizziness;fatigue;headache;symptoms of eye;weight gain,
polymyalgia rheumatica,difficulty in swallowing;fatigue;irregular heartbeat;leg pain;sharp chest pain;shoulder pain,
post-traumatic stress disorder (ptsd),abusing alcohol;anxiety and nervousness;delusions or hallucinations;depression;depressive or psychotic symptoms;drug abuse;excessive anger;hostile behavior;insomnia;temper problems,
postoperative infection,abnormal appearing skin;fever;jaw swelling;sharp abdominal pain;skin on leg or foot looks infected;skin swelling,
postpartum depression,anxiety and nervousness;delusions or hallucinations;depression;depressive or psychotic symptoms;drug abuse;excessive anger;intermenstrual bleeding;pain during pregnancy;problems during pregnancy,
preeclampsia,headache;lower abdominal pain;pain during pregnancy;problems during pregnancy;recent pregnancy;sharp abdominal pain;spots or clouds in vision;uterine contractions;vaginal redness,
pregnancy,cramps and spasms;pain during pregnancy;pelvic pressure;problems during pregnancy;spotting or bleeding during pregnancy;uterine contractions,
premature atrial contractions (pacs),dizziness;fainting;fatigue;irregular heartbeat;muscle swelling;palpitations;shortness of breath,
premature ovarian failure,absence of menstruation;infertility;lack of growth;pelvic pain;weight gain,
premature rupture of amniotic membrane,elbow weakness;sharp abdominal pain;uterine contractions,
premature ventricular contractions (pvcs),chest tightness;fainting;impotence;irregular heartbeat;palpitations;sharp chest pain;shortness of breath;sleepiness,
premenstrual tension syndrome,back pain;depressive or psychotic symptoms;headache;lower abdominal pain;premenstrual tension or irritability;unpredictable menstruation,
presbyacusis,diminished hearing;dizziness;ear pain;emotional symptoms;ringing in ear,
presbyopia,abnormal movement of eyelid;difficulty speaking;diminished vision;foreign body sensation in eye;pain in eye;spots or clouds in vision;symptoms of eye,
priapism,abusing alcohol;elbow weakness;painful urination;penis pain,
primary immunodeficiency,arm stiffness or tightness;cough;decreased appetite;fatigue;frontal headache,
primary insomnia,abnormal breathing sounds;abnormal involuntary movements;anxiety and nervousness;delusions or hallucinations;fatigue;insomnia;sleepiness,
primary kidney disease,blood in urine;impotence;lack of growth;peripheral edema;symptoms of the kidneys,
primary thrombocythemia,dizziness;fatigue;flatulence,
problem during pregnancy,back pain;cramps and spasms;headache;lower abdominal pain;nausea;pain during pregnancy;pelvic pain;problems during pregnancy;sharp abdominal pain;spotting or bleeding during pregnancy;vomiting,
prostate cancer,blood in urine;excessive urination at night;flushing;impotence;involuntary urination;pain during intercourse;retention of urine;symptoms of prostate,
prostatitis,back pain;blood in urine;chills;fever;frequent urination;impotence;lower abdominal pain;painful urination;retention of urine;sharp abdominal pain,
protein deficiency,depression;nausea;smoking problems;vomiting;weakness,
pseudohypoparathyroidism,elbow weakness;knee pain;leg pain;wrist pain,
pseudotumor cerebri,abnormal involuntary movements;diminished vision;dizziness;headache;pain in eye,
psoriasis,"abnormal appearing skin;irregular appearing scalp;itching of skin;itchy scalp;joint pain;skin dryness, peeling, scaliness, or roughness;skin growth;skin lesion;skin moles;skin rash;skin swelling",
psychosexual disorder,depression;fatigue;impotence;involuntary urination;loss of sex drive;pain during intercourse;premature ejaculation,
psychotic disorder,abusing alcohol;anxiety and nervousness;delusions or hallucinations;depression;depressive or psychotic symptoms;excessive anger;fears and phobias;hostile behavior;hysterical behavior;insomnia;temper problems,
pterygium,acne or pimples;diminished vision;eye redness;foreign body sensation in eye;lacrimation;spots or clouds in vision;symptoms of eye,
pulmonary congestion,chest tightness;cough;decreased heart rate;fever;leg swelling;nasal congestion;sharp chest pain;shortness of breath;weakness,
pulmonary embolism,chest tightness;cough;difficulty breathing;hemoptysis;leg pain;leg swelling;sharp chest pain;shortness of breath;side pain;sweating;weakness,
pulmonary eosinophilia,cough;dizziness;fever;nasal congestion;paresthesia;sharp chest pain;shortness of breath,
pulmonary fibrosis,chest tightness;cough;difficulty breathing;fainting;fever;sharp chest pain;shortness of breath,
pulmonary hypertension,apnea;cough;difficulty breathing;fatigue;feeling ill;hemoptysis;palpitations;sharp chest pain;shortness of breath,
pulmonic valve disease,emotional symptoms;shortness of breath,
pyelonephritis,back pain;blood in urine;frequent urination;low back pain;lower abdominal pain;nausea;painful urination;sharp abdominal pain;side pain;suprapubic pain;vomiting,
pyloric stenosis,arm stiffness or tightness;cough;vomiting,
pyogenic skin infection,abnormal appearing skin;foot or toe pain;foot or toe swelling;hand or finger pain;hand or finger swelling;leg pain;leg swelling;peripheral edema;skin lesion;skin rash;skin swelling,
raynaud disease,hand or finger pain;hand or finger swelling;loss of sensation,
reactive arthritis,hip pain;knee lump or mass,
rectal disorder,blood in stool;burning abdominal pain;constipation;cramps and spasms;diarrhea;heartburn;itching of the anus;melena;pain of the anus;rectal bleeding;sharp abdominal pain,
restless leg syndrome,abnormal involuntary movements;apnea;depression;fatigue;headache;insomnia;leg pain;sleepiness,
retinal detachment,blindness;diminished vision;double vision;itchiness of eye;lacrimation;pain in eye;spots or clouds in vision;symptoms of eye,
retinopathy due to high blood pressure,diminished vision;foreign body sensation in eye;pain in eye;pus draining from ear;spots or clouds in vision;symptoms of eye,
rhabdomyolysis,arm pain;depressive or psychotic symptoms;hoarse voice;leg pain;sharp chest pain,
rheumatic fever,itchiness of eye;knee lump or mass,
rheumatoid arthritis,ache all over;elbow swelling;hand or finger pain;hand or finger swelling;joint pain;joint swelling;knee pain;peripheral edema;wrist pain;wrist swelling,
rocky mountain spotted fever,headache;wrist pain,
rosacea,"abnormal appearing skin;acne or pimples;itching of skin;lymphedema;skin dryness, peeling, scaliness, or roughness;skin growth;skin lesion;skin moles;skin swelling;symptoms of eye",
rotator cuff injury,arm pain;arm stiffness or tightness;hand or finger stiffness or tightness;shoulder pain;shoulder stiffness or tightness;shoulder weakness,
salivary gland disorder,cough;sore throat;swollen lymph nodes;throat feels tight,
sarcoidosis,chest tightness;cough;facial pain;headache;pain in eye;peripheral edema;sharp chest pain;shortness of breath,
scabies,abnormal appearing skin;foot or toe swelling;itching of skin;problems during pregnancy;skin rash;skin swelling;unpredictable menstruation,
scar,abnormal appearing skin;itching of skin;lip swelling;skin growth;skin lesion;skin moles;skin swelling,
scarlet fever,cough;fever;skin rash;skin swelling;sore throat;throat swelling,
schizophrenia,anxiety and nervousness;delusions or hallucinations;depression;depressive or psychotic symptoms;excessive anger;fears and phobias;hostile behavior;hysterical behavior;insomnia;low self-esteem;temper problems,
sciatica,back cramps or spasms;hip pain;leg cramps or spasms;leg pain;leg weakness;loss of sensation;low back pain;lower body pain;problems with movement;unusual color or odor to urine,
scleritis,abnormal involuntary movements;eye redness;headache;pain in eye;spots or clouds in vision,
scleroderma,"abnormal appearing skin;feeling ill;itching of skin;lip swelling;skin dryness, peeling, scaliness, or roughness;skin growth;skin irritation;skin lesion",
scoliosis,back pain;knee stiffness or tightness;knee swelling;leg pain;low back pain;lower body pain;problems with movement,
scurvy,knee lump or mass;sharp abdominal pain,
seasonal allergies (hay fever),allergic reaction;coryza;cough;ear pain;frontal headache;headache;itchiness of eye;lacrimation;nasal congestion;sneezing;sore throat,
sebaceous cyst,abnormal appearing skin;acne or pimples;arm lump or mass;back mass or lump;hand or finger lump or mass;irregular appearing scalp;neck mass;skin growth;skin lesion;skin moles;skin swelling,
seborrheic dermatitis,"abnormal appearing skin;acne or pimples;dry or flaky scalp;irregular appearing scalp;itching of skin;skin dryness, peeling, scaliness, or roughness;skin growth;skin lesion;skin rash;symptoms of the face;too little hair",
seborrheic keratosis,abnormal appearing skin;acne or pimples;irregular appearing scalp;itching of skin;skin growth;skin irritation;skin lesion;skin moles;skin rash;skin swelling;warts,
sensorineural hearing loss,diminished hearing;dizziness;ear pain;fluid in ear;hoarse voice;itchy ear(s);nasal congestion;plugged feeling in ear;ringing in ear;throat feels tight,
sepsis,chills;cough;decreased appetite;difficulty breathing;feeling ill;fever;sharp abdominal pain;shortness of breath;suprapubic pain;vomiting;weakness,
septic arthritis,fever;hip pain;knee pain;knee swelling;leg pain,
shingles (herpes zoster),abnormal appearing skin;back pain;facial pain;headache;itching of skin;pain in eye;sharp chest pain;skin lesion;skin rash,
sialoadenitis,cough;facial pain;jaw swelling;nasal congestion;neck mass;neck swelling;peripheral edema;sore throat;swollen lymph nodes,
sick sinus syndrome,decreased heart rate;dizziness;fainting;increased heart rate;irregular heartbeat;palpitations;shortness of breath;weakness,
sickle cell anemia,ache all over;back pain;dry lips;fever;joint pain;leg pain;pulling at ears;temper problems,
sickle cell crisis,ache all over;arm pain;back pain;burning abdominal pain;hip pain;knee pain;leg pain;low back pain;sharp abdominal pain;sharp chest pain;vomiting,
sinus bradycardia,chest tightness;decreased heart rate;dizziness;fainting;feeling ill;increased heart rate;irregular heartbeat;palpitations;sharp chest pain;shortness of breath;weakness,
sjogren syndrome,ache all over;difficulty in swallowing;diminished vision;joint pain;pain in eye;symptoms of eye,
skin cancer,"abnormal appearing skin;irregular appearing scalp;lip swelling;skin dryness, peeling, scaliness, or roughness;skin growth;skin irritation;skin lesion;skin moles;skin swelling;warts",
skin disorder,"abnormal appearing skin;acne or pimples;irregular appearing scalp;itching of skin;skin dryness, peeling, scaliness, or roughness;skin growth;skin irritation;skin lesion;skin moles;skin swelling",
skin pigmentation disorder,"abnormal appearing skin;acne or pimples;irregular appearing scalp;itching of skin;skin dryness, peeling, scaliness, or roughness;skin growth;skin lesion;skin moles;skin rash;skin swelling;warts",
skin polyp,"abnormal appearing skin;acne or pimples;irregular appearing scalp;itching of skin;skin dryness, peeling, scaliness, or roughness;skin growth;skin irritation;skin lesion;skin moles;skin swelling;warts",
smoking or tobacco addiction,abusing alcohol;cough;coughing up sputum;drug abuse;excessive anger;headache;hemoptysis;hurts to breath;sharp chest pain;shortness of breath;smoking problems,
social phobia,abusing alcohol;anxiety and nervousness;delusions or hallucinations;depression;depressive or psychotic symptoms;excessive anger;excessive appetite;fears and phobias;insomnia,
soft tissue sarcoma,"abnormal appearing skin;groin mass;itching of skin;skin dryness, peeling, scaliness, or roughness;skin growth;skin lesion;skin moles",
somatization disorder,ache all over;anxiety and nervousness;depression;dizziness;fainting,
spermatocele,elbow weakness;frequent urination;mass in scrotum;pain in testicles;retention of urine,
spherocytosis,cough;elbow weakness;skin rash,
spina bifida,back pain;disturbance of memory;eye moves abnormally;headache;involuntary urination;skin lesion,
spinal stenosis,arm pain;back pain;headache;hip pain;leg pain;loss of sensation;low back pain;lower body pain;neck pain;paresthesia;problems with movement;shoulder pain,
spinocerebellar ataxia,abnormal involuntary movements;anxiety and nervousness;dizziness;problems with movement,
spondylitis,back mass or lump;back pain;hip pain;leg pain;low back pain;lower body pain;neck pain;side pain;stiffness all over,
spondylolisthesis,back pain;hip pain;leg cramps or spasms;leg pain;leg weakness;loss of sensation;low back pain;neck pain;paresthesia;problems with movement,
spondylosis,ache all over;arm pain;back pain;hip pain;knee pain;leg pain;loss of sensation;low back pain;lower body pain;neck pain;paresthesia;shoulder pain,
spontaneous abortion,blood clots during menstrual periods;burning abdominal pain;cramps and spasms;heavy menstrual flow;intermenstrual bleeding;lower abdominal pain;pain during pregnancy;pelvic pain;problems during pregnancy;sharp abdominal pain;spotting or bleeding during pregnancy;uterine contractions,
sporotrichosis,knee pain;wrist pain,
sprain or strain,ankle pain;arm pain;back pain;foot or toe pain;hand or finger pain;headache;knee pain;leg pain;low back pain;neck pain;shoulder pain;wrist pain,
stenosis of the tear duct,abnormal movement of eyelid;cough;lacrimation;symptoms of eye;white discharge from eye,
stomach cancer,burning abdominal pain;diarrhea;difficulty in swallowing;heartburn;nausea;sharp abdominal pain;vomiting,
strep throat,ache all over;chills;cough;decreased appetite;difficulty in swallowing;ear pain;fever;headache;nasal congestion;skin rash;sore throat;vomiting,
stress incontinence,blood in urine;frequent urination;hot flashes;intermenstrual bleeding;involuntary urination;painful urination;retention of urine,
stricture of the esophagus,difficulty in swallowing;heartburn;problems with movement;regurgitation.1;sharp chest pain;vomiting,
stroke,abnormal involuntary movements;depressive or psychotic symptoms;difficulty speaking;disturbance of memory;dizziness;focal weakness;headache;problems with movement;seizures;slurring words,
stye,abnormal appearing skin;eye burns or stings;eye redness;eyelid lesion or rash;eyelid swelling;itchiness of eye;mass on eyelid;pain in eye;skin swelling;swollen eye;symptoms of eye,
subacute thyroiditis,blood in stool;pain during pregnancy;palpitations;problems during pregnancy;uterine contractions,
subarachnoid hemorrhage,dizziness;fainting;headache;loss of sensation;symptoms of eye;vomiting,
subconjunctival hemorrhage,bleeding from eye;diminished vision;eye redness;facial pain;foreign body sensation in eye;headache;pain in eye;symptoms of eye,
subdural hemorrhage,depressive or psychotic symptoms;dizziness;facial pain;headache;irritable infant;vomiting,
substance-related mental disorder,anxiety and nervousness;delusions or hallucinations;depressive or psychotic symptoms;drug abuse;feeling ill;hostile behavior;insomnia,
syndrome of inappropriate secretion of adh (siadh),cross-eyed;dizziness;feeling ill,
syphilis,headache;muscle pain;skin rash;vaginal discharge,
syringomyelia,back pain;fainting;headache;shoulder pain,
systemic lupus erythematosis (sle),ache all over;bones are painful;hand or finger stiffness or tightness;knee pain;leg swelling;sharp chest pain,
teething syndrome,cough;decreased appetite;diarrhea;ear pain;fever;nasal congestion;redness in ear;symptoms of infants;temper problems,
temporary or benign blood in urine,back pain;blood in urine;frequent urination;involuntary urination;lower abdominal pain;painful urination;regurgitation;regurgitation.1;retention of urine;sharp abdominal pain;suprapubic pain;symptoms of bladder,
temporomandibular joint disorder,diminished hearing;ear pain;facial pain;headache;nasal congestion;neck pain;pain in eye;sore throat,
tendinitis,ankle pain;arm pain;foot or toe pain;hand or finger pain;hand or finger swelling;hip pain;knee pain;leg pain;shoulder pain;wrist pain,
tension headache,anxiety and nervousness;back cramps or spasms;chills;dizziness;headache;nausea;neck pain;neck stiffness or tightness,
testicular cancer,anxiety and nervousness;diminished hearing;mass in scrotum,
testicular disorder,fatigue;hoarse voice;impotence;loss of sex drive;symptoms of the scrotum and testes,
testicular torsion,back pain;emotional symptoms;pain in testicles;sharp abdominal pain;swelling of scrotum;symptoms of the scrotum and testes,
thalassemia,elbow weakness;insomnia,
thoracic aortic aneurysm,chest tightness;dizziness;fatigue;jaundice;sharp abdominal pain;sharp chest pain;shortness of breath,
thoracic outlet syndrome,arm pain;decreased appetite;hand or finger pain;loss of sensation;sharp chest pain;shoulder pain,
threatened pregnancy,back pain;blood clots during menstrual periods;cramps and spasms;intermenstrual bleeding;lower abdominal pain;pelvic pain;problems during pregnancy;sharp abdominal pain;spotting or bleeding during pregnancy;uterine contractions;vaginal discharge,
thrombocytopenia,bleeding gums;blood in stool;blood in urine;fatigue;irregular appearing scalp;nosebleed;sharp chest pain,
thrombophlebitis,ache all over;arm pain;arm swelling;foot or toe pain;leg pain;leg swelling;lymphedema;skin on leg or foot looks infected;skin swelling,
thyroid cancer,difficulty in swallowing;fatigue;neck mass;swollen lymph nodes,
thyroid disease,difficulty in swallowing;lump in throat;neck mass;throat feels tight,
thyroid nodule,back weakness;difficulty in swallowing;diminished hearing;fatigue;hoarse voice;neck mass;throat feels tight,
tic (movement) disorder,abnormal involuntary movements;abnormal movement of eyelid;depressive or psychotic symptoms;headache;problems with movement;symptoms of eye,
tietze syndrome,chest tightness;cough;difficulty breathing;loss of sensation;nausea;rib pain;sharp chest pain;shortness of breath,
tinnitus of unknown cause,diminished hearing;dizziness;ear pain;headache;hoarse voice;itchy ear(s);plugged feeling in ear;ringing in ear,
tonsillar hypertrophy,abnormal breathing sounds;apnea;cough;difficulty in swallowing;fever;nasal congestion;redness in ear;sore throat,
tonsillitis,abnormal breathing sounds;diminished hearing;lump in throat;nasal congestion;redness in ear;sore throat;swollen or red tonsils;throat feels tight;throat redness,
tooth abscess,facial pain;gum pain;jaw swelling;lip swelling;mouth pain;neck swelling;pain in gums;peripheral edema;skin swelling;toothache,
tooth disorder,bleeding gums;ear pain;facial pain;gum pain;headache;jaw swelling;mouth ulcer;pain in gums;peripheral edema;toothache,
torticollis,abnormal involuntary movements;arm pain;headache;neck cramps or spasms;neck pain;neck stiffness or tightness;shoulder pain;throat swelling,
tourette syndrome,abnormal involuntary movements;allergic reaction;depressive or psychotic symptoms;drug abuse;headache,
toxic multinodular goiter,abnormal involuntary movements;double vision;fatigue;involuntary urination;irregular heartbeat,
toxoplasmosis,diminished vision;emotional symptoms,
tracheitis,cough;fever;hoarse voice;nasal congestion;shortness of breath;sneezing;sore throat,
transient ischemic attack,depressive or psychotic symptoms;difficulty speaking;disturbance of memory;dizziness;focal weakness;headache;loss of sensation;paresthesia;symptoms of the face;weakness,
trichiasis,diminished vision;emotional symptoms;eye redness;eyelid lesion or rash;foreign body sensation in eye,
trichinosis,knee lump or mass;nasal congestion,
trichomonas infection,lower abdominal pain;nausea;pain during pregnancy;sharp abdominal pain;unpredictable menstruation;vaginal discharge;vaginal itching;vomiting,
tricuspid valve disease,anxiety and nervousness;emotional symptoms,
trigeminal neuralgia,abnormal involuntary movements;dizziness;facial pain;headache;pain in eye;symptoms of the face;toothache,
trigger finger (finger disorder),bones are painful;hand or finger cramps or spasms;hand or finger pain;hand or finger stiffness or tightness;hand or finger swelling;wrist pain,
tuberculosis,congestion in chest;cough;shortness of breath;vaginal itching,
tuberous sclerosis,depressive or psychotic symptoms;elbow weakness;seizures,
turner syndrome,depression;emotional symptoms,
typhoid fever,fever;wrist pain,
ulcerative colitis,blood in stool;burning abdominal pain;diarrhea;lower abdominal pain;nausea;rectal bleeding;sharp abdominal pain;swollen lymph nodes;vomiting,
